wallet,deposit_volume,borrow_volume,repay_volume,redeem_volume,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,active_days,token_diversity,total_tx,credit_score,score_range
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,52837322.651035,34964600.0,35002998.465161,52872555.634121,59,45,21,37,0,24.53,2,162,1000.0,"(900, 1000]"
0x0034d2a08772822866b08d2c585e5c8e25723760,476.0,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,466.6751649088834,"(400, 500]"
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,0.0,0.0,0.0,120703.711254,0,0,0,5,0,30.83,3,5,420.1383333333333,"(400, 500]"
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,3124.667899,1245.380361,913.894665,1723.511961,14,8,2,2,0,20.91,3,26,760.335211438742,"(700, 800]"
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,10.0,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,428.9789527279837,"(400, 500]"
0x0036534c48a754163f0f446601f36bcfda840f57,676.473309,1415.0,1400.278618,1027.56357,7,8,7,5,0,12.88,5,27,824.7331761707729,"(800, 900]"
0x00368bb9dba2ee83f3553feae59710b9c3743e09,800.58818,500.0,0.0,199.852176,9,1,0,1,0,37.85,4,11,393.17428318046234,"(300, 400]"
0x0036a2f1f6136bb9d7992f7def692126a279e702,0.003993,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.0398504913368,"(300, 400]"
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,1888.527298,4421.0,3802.145876,3002.890987,9,14,14,6,0,56.22,5,43,874.6824970055528,"(800, 900]"
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,1904.209951,928.06986,936.039295,1905.501764,4,2,2,4,0,70.08,3,12,839.057979287711,"(800, 900]"
0x0037643e4ec2b622270676e9e7aa163b261cfb79,1.843331,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,315.4497625220208,"(300, 400]"
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,49613.617892,0.0,0.0,49624.041277,3,0,0,6,0,49.8,1,9,621.4204078485743,"(600, 700]"
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,152.955794,106.949369,0.0,82.888008,7,13,0,7,1,67.52,5,27,286.6199884259162,"(200, 300]"
0x0038281701bf3f51fdbb18903c6e18776780a9a1,1.1,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,312.41937344729376,"(300, 400]"
0x00389de87cae34a6f89e13cc8225c4984add8b37,4726634.128311,2681216.415153,1423714.851667,3357130.142588,328,100,76,106,0,58.28,8,610,1000.0,"(900, 1000]"
0x0039e71541bdc798d062346bce94230bf519bb72,0.0325,0.005,0.0,0.0,1,1,0,0,0,0.0,1,2,105.3198304585305,"(100, 200]"
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,18954.189899,0.0,0.0,23994.60672,2,0,0,4,0,2.77,3,6,613.9599971297895,"(600, 700]"
